ip_sum_freq,ip_sum_sz,ip_destp_mode,ip_destp_least,ip_avg_freq,ip_avg_sz,ip_std_sz,ip_avg_ttl,ip_avg_delay,ip_std_delay,ip_std_freq,wifi_sum_freq,wifi_sum_sz,wifi_subtype_mode,wifi_type_least,wifi_avg_freq,wifi_avg_sz,wifi_avg_rssi,wifi_std_rssi,wifi_avg_delay,wifi_std_delay,wifi_std_freq,zb_sum_freq,zb_sum_sz,zb_type_mode,zb_type_least,zb_avg_freq,zb_avg_sz,zb_std_sz,zb_avg_delay,zb_std_delay,zb_std_freq,audio_freq,audio_avg_rms,audio_std_rms,avg_db,std_db,activity
0,0,0,0,0,0,0,0,0,0,0,15,193,8,8,15,193,-3,0,102,106,0,17,90,1,1,5,30,0,136,29,0,0,0,0,11,7.97,0
0,0,0,0,0,0,0,0,0,0,0,33,495,8,8,16,247,-3,0,56,61,9,13,52,2,0,4,17,0,272,0,4,187,1.38,0.63,9,7.13,0
0,0,0,0,0,0,0,0,0,0,0,30,193,8,8,30,193,-3,0,102,104,0,16,98,2,2,5,32,0,128,58,4,0,0,0,9,7.66,0
0,0,0,0,0,0,0,0,0,0,0,30,193,8,8,30,193,-3,0,102,104,0,13,116,2,1,4,38,0,97,34,4,194,1.64,0.69,10,8.25,0
3,328,443,50000,1,164,125,149,10,0,0,31,193,8,8,31,193,-3,0,102,104,0,15,152,3,2,5,50,2,110,25,4,190,1.51,0.62,9,7.19,0
8,362,443,50000,2,120,81,121,238,227,0,37,495,8,8,18,247,-3,0,55,58,11,12,78,2,2,4,26,0,101,37,3,0,0,0,11,8.58,0
6,348,443,50000,2,116,101,116,31,0,0,26,193,8,8,26,193,-3,0,102,104,0,19,89,2,2,6,29,1,91,1,4,177,1.3,0.7,9,6.87,0
3,327,443,50000,1,163,124,149,10,0,0,29,193,8,8,29,193,-3,0,102,104,0,4,115,2,3,1,38,1,13,0,0,172,1.24,0.71,11,9.26,0
5,409,443,50000,1,136,103,117,186,0,0,43,495,8,8,21,247,-3,0,55,59,9,16,152,3,2,5,50,2,107,23,4,0,0,0,9,8.13,0
0,0,0,0,0,0,0,0,0,0,0,30,193,8,8,30,193,-3,0,102,104,0,15,116,2,2,5,38,0,81,0,5,179,1.29,0.59,10,8.14,0
6,327,443,50000,3,163,101,149,820,341,1,26,193,8,8,26,193,-3,0,102,104,0,15,153,2,2,5,51,0,220,230,3,166,1.15,0.64,8,6.73,0
2,165,50000,50000,1,82,0,58,0,0,0,42,495,8,8,21,247,-3,0,54,57,9,14,52,2,0,4,17,0,309,0,4,0,0,0,10,7.72,0
0,0,0,0,0,0,0,0,0,0,0,30,193,8,8,30,193,-3,0,105,109,0,19,163,2,2,6,54,0,131,72,4,171,1.13,0.6,10,7.34,0
4,164,50000,50000,2,82,60,58,148,0,0,30,193,8,8,30,193,-3,0,102,104,0,15,52,2,0,5,17,0,323,24,4,178,1.16,0.55,11,8.85,0
0,0,0,0,0,0,0,0,0,0,0,25,193,8,8,25,193,-3,0,102,104,0,12,90,2,2,6,45,0,122,0,5,200,1.43,0.5,10,7.14,0
4,134,8883,50000,2,67,21,149,10,0,0,38,495,8,8,19,247,-3,0,58,65,12,8,170,6,6,2,56,2,52,61,2,0,0,0,10,7.71,0
4,120,443,50000,2,60,28,143,31,0,0,31,495,8,8,15,247,-3,0,51,52,14,14,90,2,2,7,45,0,122,3,6,204,2.12,0.67,9,7.01,0
0,0,0,0,0,0,0,0,0,0,0,29,193,8,8,29,193,-3,0,109,114,0,16,52,2,0,5,17,0,331,0,5,184,1.23,0.54,10,8.16,0
2,165,50000,50000,1,82,0,58,0,0,0,31,495,8,8,15,247,-3,0,51,52,14,16,102,2,2,5,34,1,451,182,3,0,0,0,11,7.99,0
0,0,0,0,0,0,0,0,0,0,0,31,193,8,8,31,193,-3,0,102,104,0,6,90,0,0,2,30,0,157,135,1,189,1.34,0.5,10,7.71,0
0,0,0,0,0,0,0,0,0,0,0,20,193,8,8,20,193,-3,0,102,105,0,18,116,2,2,6,38,0,149,64,3,197,1.39,0.44,10,8.37,0
3,183,443,50000,1,91,17,149,9,0,0,29,193,8,8,29,193,-3,0,102,104,0,13,52,2,0,4,17,0,345,0,4,0,0,0,9,7.07,0
3,327,443,50000,1,163,124,149,9,0,0,34,495,5,5,17,247,-3,0,56,59,13,12,155,3,2,4,51,2,199,231,2,185,1.21,0.48,10,7.93,0
6,400,50000,443,2,133,126,60,457,0,0,31,193,8,8,31,193,-3,0,102,104,0,4,127,2,3,1,42,0,0,0,0,174,1.14,0.55,10,8.05,0
0,0,0,0,0,0,0,0,0,0,0,29,193,8,8,29,193,-3,0,106,109,0,12,116,2,2,4,38,0,82,1,4,0,0,0,11,7.87,0
5,378,443,443,1,126,89,121,13,0,0,33,495,8,8,16,247,-3,0,58,64,13,16,78,2,2,5,26,0,75,22,6,179,1.18,0.57,11,8.26,0
12,242,9002,9002,4,80,65,116,35,14,1,31,193,8,8,31,193,-3,0,102,104,0,4,211,3,1,1,70,0,1,0,0,175,1.33,0.72,11,7.84,0
3,327,443,50000,1,163,124,149,9,0,0,30,193,8,8,30,193,-3,0,102,104,0,16,78,2,2,5,26,0,75,22,6,0,0,0,9,8.45,0
5,233,443,50000,1,77,27,118,130,0,0,36,495,8,8,18,247,-3,0,53,54,13,17,89,2,2,5,29,1,100,27,3,184,1.24,0.53,10,7.67,0
18,844,443,50000,6,281,280,121,553,233,4,30,193,8,8,30,193,-3,0,102,104,0,15,161,3,2,5,53,0,246,341,3,168,1.15,0.64,11,8.03,0
3,327,443,50000,1,163,124,149,10,0,0,21,193,8,8,21,193,-3,0,102,105,0,14,89,2,2,4,29,1,104,32,2,0,0,0,10,7.41,0
11,926,443,50000,3,308,286,80,277,466,2,38,495,8,8,19,247,-3,0,56,60,10,6,115,2,3,2,38,1,277,456,1,168,1.09,0.59,10,7.55,0
4,369,443,50000,1,123,83,121,6,0,0,31,193,8,8,31,193,-3,0,102,104,0,16,152,3,2,5,50,2,92,23,4,157,1.01,0.6,12,9.07,0
0,0,0,0,0,0,0,0,0,0,0,30,193,8,8,30,193,-3,0,102,104,0,11,52,2,0,3,17,0,91,85,3,0,0,0,10,8.1,0
0,0,0,0,0,0,0,0,0,0,0,31,193,8,8,31,193,-3,0,102,104,0,14,52,2,2,7,26,0,112,35,6,158,0.96,0.57,10,7.89,0
5,395,8883,8883,1,131,90,121,15,0,0,38,495,8,8,19,247,-3,0,54,56,11,13,78,2,8,4,26,0,89,45,4,162,1.03,0.64,11,8.73,0
4,120,443,50000,2,60,28,143,37,0,0,30,193,8,8,30,193,-3,0,102,104,0,22,102,2,2,7,34,2,289,223,3,164,1.07,0.6,10,8.33,0
0,0,0,0,0,0,0,0,0,0,0,31,193,8,8,31,193,-3,0,102,104,0,15,52,2,0,5,17,0,411,24,4,0,0,0,10,7.67,0
5,297,50000,50000,1,99,43,60,307,0,0,36,495,8,8,18,247,-3,0,58,65,11,15,26,2,2,15,26,0,209,87,0,166,1.05,0.54,11,8.82,0
0,0,0,0,0,0,0,0,0,0,0,20,193,8,8,20,193,-3,0,107,113,0,7,124,2,3,2,41,0,141,174,1,0,0,0,10,7.48,0
3,326,443,50000,1,163,124,149,10,0,0,30,193,8,8,30,193,-3,0,102,104,0,16,115,2,2,5,38,1,87,34,5,154,0.94,0.59,9,7.18,0
3,328,443,50000,1,164,125,149,11,0,0,41,495,8,8,20,247,-3,0,55,58,10,5,116,2,1,1,38,0,377,461,0,136,0.82,0.64,10,7.86,0
4,382,443,50000,1,127,84,121,7,0,0,30,193,8,8,30,193,-3,0,102,104,0,27,89,2,2,9,29,1,218,222,3,137,0.8,0.61,10,7.54,0
13,259,9002,50000,4,86,74,60,77,12,1,31,193,8,8,31,193,-3,0,102,104,0,7,125,2,3,2,41,2,185,129,1,0,0,0,10,8.63,0
