timestamp,freq,avg_rms,std_rms
1549751936,187,1.38,0.63
1549751942,194,1.64,0.69
1549751945,190,1.51,0.62
1549751951,177,1.3,0.7
1549751954,172,1.24,0.71
1549751960,179,1.29,0.59
1549751963,166,1.15,0.64
1549751969,171,1.13,0.6
1549751972,178,1.16,0.55
1549751975,200,1.43,0.5
1549751981,204,2.12,0.67
1549751984,184,1.23,0.54
1549751990,189,1.34,0.5
1549751993,197,1.39,0.44
1549751999,185,1.21,0.48
1549752002,174,1.14,0.55
1549752008,179,1.18,0.57
1549752011,175,1.33,0.72
1549752017,184,1.24,0.53
1549752020,168,1.15,0.64
1549752026,168,1.09,0.59
1549752029,157,1.01,0.6
1549752035,158,0.96,0.57
1549752038,162,1.03,0.64
1549752041,164,1.07,0.6
1549752047,166,1.05,0.54
1549752053,154,0.94,0.59
1549752056,136,0.82,0.64
1549752059,137,0.8,0.61
1549752065,168,1.1,0.57
1549752068,152,0.96,0.63
1549752074,169,1.16,0.61
1549752077,173,1.16,0.57
1549752083,167,1.04,0.58
1549752086,165,1.05,0.58
1549752092,160,1,0.63
1549752095,164,1.15,0.64
1549752101,164,0.98,0.54
1549752104,161,1,0.58
1549752110,170,1.14,0.58
1549752113,170,1.1,0.57
1549752119,160,0.99,0.6
1549752122,158,1.02,0.63
1549752125,176,1.15,0.61
1549752131,180,1.4,0.68
1549752134,170,1.14,0.62
1549752140,184,1.3,0.57
1549752143,182,1.28,0.6
1549752149,176,1.2,0.58
1549752152,167,1.2,0.64
1549752158,182,1.26,0.58
1549752161,204,2.56,1.09
1549752167,202,2.18,0.75
1549752170,198,1.87,0.74
1549752176,195,1.9,0.76
1549752179,190,1.67,0.73
1549752185,196,1.68,0.64
1549752188,199,1.86,0.75
1549752191,181,1.35,0.65
1549752197,177,1.21,0.61
1549752203,156,0.99,0.64
1549752206,164,1.13,0.65
1549752209,149,0.95,0.63
1549752215,145,0.84,0.62
1549752218,149,0.92,0.63
1549752224,157,0.96,0.59
1549752227,162,0.98,0.53
1549752233,166,1.01,0.57
1549752236,168,1.12,0.62
1549752242,158,0.98,0.57
1549752245,150,0.91,0.6
1549752251,159,1,0.62
1549752254,188,1.42,0.57
1549752260,160,1.06,0.67
1549752263,185,1.51,0.67
1549752269,180,1.45,0.74
1549752272,191,1.63,0.68
1549752275,198,1.73,0.61
1549752281,180,1.5,0.72
1549752287,184,1.36,0.58
1549752290,176,1.3,0.66
1549752293,177,1.28,0.66
1549752299,167,1.2,0.67
1549752302,162,1.03,0.57
1549752308,147,0.93,0.65
1549752311,145,0.9,0.62
1549752317,153,0.9,0.58
1549752320,144,0.87,0.64
1549752326,170,1.09,0.57
1549752329,179,1.15,0.57
1549752335,196,1.54,0.59
1549752338,191,1.8,0.91
1549752344,191,1.75,0.87
1549752347,182,1.49,0.74
1549752353,176,1.22,0.67
1549752356,171,1.21,0.64
1549752359,156,1.03,0.66
1549752365,154,1.05,0.66
1549752368,161,1.09,0.62
1549752374,165,1,0.56
1549752377,162,1.02,0.62
1549752383,178,1.19,0.56
1549752386,189,1.39,0.57
1549752392,172,1.23,0.64
1549752395,176,1.19,0.56
1549752401,178,1.2,0.59
1549752404,185,1.41,0.66
1549752410,180,1.32,0.68
1549752413,184,1.39,0.62
1549752416,190,1.59,0.75
1549752422,178,1.22,0.62
1549752428,150,0.88,0.65
1549752431,168,1.06,0.59
1549752434,180,1.29,0.63
1549752440,196,1.71,0.74
1549752443,195,1.61,0.62
1549752449,190,1.57,0.63
1549752452,188,1.51,0.62
1549752458,194,1.62,0.64
1549752461,165,1.12,0.65
1549752467,157,1.04,0.67
1549752470,160,1.02,0.61
1549752476,155,0.99,0.59
1549752479,140,0.83,0.59
1549752485,147,0.88,0.64
1549752488,165,1.12,0.63
1549752494,177,1.18,0.64
1549752497,180,1.4,0.7
