timestamp,src,dest,src_port,dest_port,freq,avg_ttl,avg_sz,std_sz,avg_del,std_del
1549751933,0,0,0,0,0,0,0,0,0,0
1549751936,0,0,0,0,0,0,0,0,0,0
1549751939,0,0,0,0,0,0,0,0,0,0
1549751942,0,0,0,0,0,0,0,0,0,0
1549751945,192.168.1.8,34.249.225.142,55393,443,2,64.00,229.00,250.32,20103.00,0.00
1549751945,34.249.225.142,192.168.1.8,443,55393,1,235.00,99.00,0.00,0.00,0.00
1549751948,192.168.1.8,34.249.225.142,55393,443,4,64.00,228.25,203.52,414679.00,683160.69
1549751948,192.168.1.7,54.246.176.173,44837,8883,2,64.00,67.50,21.92,182198.00,0.00
1549751948,54.246.176.173,192.168.1.7,8883,44837,2,235.00,67.50,21.92,118584.00,0.00
1549751951,192.168.1.8,34.249.225.142,55393,443,2,64.00,228.50,249.61,19841.00,0.00
1549751951,52.94.219.213,192.168.1.13,443,56669,2,222.00,60.50,28.99,74347.00,0.00
1549751951,192.168.1.13,52.94.219.213,56669,443,2,64.00,60.50,28.99,659.00,0.00
1549751954,192.168.1.8,34.249.225.142,55393,443,2,64.00,228.50,249.61,20009.00,0.00
1549751954,34.249.225.142,192.168.1.8,443,55393,1,235.00,99.00,0.00,0.00,0.00
1549751957,104.198.46.246,192.168.1.5,56700,61636,2,53.00,82.50,60.10,539440.00,0.00
1549751957,192.168.1.8,34.249.225.142,55393,443,2,64.00,228.50,249.61,20057.00,0.00
1549751957,34.249.225.142,192.168.1.8,443,55393,1,235.00,99.00,0.00,0.00,0.00
1549751960,0,0,0,0,0,0,0,0,0,0
1549751963,192.168.1.8,34.249.225.142,55393,443,4,64.00,228.25,203.52,416305.33,683338.93
1549751963,34.249.225.142,192.168.1.8,443,55393,2,235.00,99.00,0.00,1225919.00,0.00
1549751966,192.168.1.5,104.198.46.246,61636,56700,1,64.00,125.00,0.00,0.00,0.00
1549751966,104.198.46.246,192.168.1.5,56700,61636,1,53.00,40.00,0.00,0.00,0.00
