timestamp,src,dest,type,freq,avg_sz,std_sz,avg_del,std_del
1549751933,0000,ffff,1,7,64.86,0.38,140503.33,70763.42
1549751933,ffff,ffff,0,5,0.00,0.00,23652.75,18834.85
1549751933,700a,cda3,2,5,26.00,0.00,245030.50,675.52
1549751936,700a,cda3,2,10,26.00,0.00,244569.33,681.99
1549751936,ffff,ffff,0,2,0.00,0.00,574272.00,0.00
1549751936,5408,0000,2,1,26.00,0.00,0.00,0.00
1549751939,700a,cda3,2,12,26.00,0.00,265806.55,70381.62
1549751939,ffff,ffff,0,3,0.00,0.00,119441.00,104917.68
1549751939,0000,700a,3,1,72.00,0.00,0.00,0.00
1549751942,700a,cda3,2,11,26.00,0.00,293561.00,103378.01
1549751942,5408,0000,2,1,26.00,0.00,0.00,0.00
1549751942,1c7c,ffff,1,1,64.00,0.00,0.00,0.00
1549751945,700a,cda3,2,11,26.00,0.00,268937.80,76976.25
1549751945,1c7c,0000,3,2,63.00,5.66,43638.00,0.00
1549751945,0000,1c7c,3,2,63.50,3.54,20623.00,0.00
1549751948,700a,cda3,2,9,26.00,0.00,304888.50,111351.49
1549751948,b88f,1c7c,2,1,26.00,0.00,0.00,0.00
1549751948,5408,0000,2,2,26.00,0.00,1619.00,0.00
1549751951,700a,cda3,2,13,26.15,0.55,244654.25,2676.24
1549751951,ffff,ffff,0,4,0.00,0.00,13585.67,3722.66
1549751951,0000,1c7c,3,2,63.50,3.54,17003.00,0.00
1549751954,1c7c,0000,3,2,63.00,5.66,40985.00,0.00
1549751954,b88f,1c7c,2,1,26.00,0.00,0.00,0.00
1549751954,5408,0000,2,1,26.00,0.00,0.00,0.00
1549751957,700a,cda3,2,12,26.00,0.00,265770.55,69755.05
1549751957,0000,1c7c,3,2,63.50,3.54,18627.00,0.00
1549751957,1c7c,0000,3,2,63.00,5.66,40245.00,0.00
1549751960,700a,cda3,2,13,26.00,0.00,244548.83,1478.42
1549751960,1c7c,ffff,1,1,64.00,0.00,0.00,0.00
1549751960,7004,cda3,5,1,26.00,0.00,0.00,0.00
1549751963,700a,cda3,2,10,26.00,0.00,244870.11,898.88
1549751963,0000,ffff,1,1,64.00,0.00,0.00,0.00
1549751963,0000,1c7c,3,4,63.50,2.89,416141.67,691473.09
1549751966,700a,cda3,2,11,26.00,0.00,245139.40,1645.03
1549751966,ffff,ffff,0,2,0.00,0.00,683241.00,0.00
1549751966,5408,0000,2,1,26.00,0.00,0.00,0.00
1549751969,700a,cda3,2,12,26.00,0.00,265158.18,68177.18
1549751969,0000,ffff,1,6,65.00,0.00,128852.80,148370.84
1549751969,0000,700a,3,1,72.00,0.00,0.00,0.00
1549751972,700a,cda3,2,12,26.00,0.00,267055.91,73868.83
1549751972,ffff,ffff,0,2,0.00,0.00,704457.00,0.00
1549751972,5408,0000,2,1,26.00,0.00,0.00,0.00
1549751975,700a,cda3,2,11,26.00,0.00,244712.40,590.51
1549751975,1c7c,ffff,1,1,64.00,0.00,0.00,0.00
1549751978,0afd,4767,6,1,68.00,0.00,0.00,0.00
1549751978,0000,700a,3,6,76.00,6.23,157043.00,185503.67
1549751978,5408,0000,2,1,26.00,0.00,0.00,0.00
1549751981,700a,cda3,2,13,26.00,0.00,244521.08,6142.32
1549751981,0000,ffff,1,1,64.00,0.00,0.00,0.00
1549751984,700a,cda3,2,13,26.00,0.00,244791.83,1169.19
