ip_sum_freq,ip_sum_sz,ip_destp_mode,ip_destp_least,ip_avg_freq,ip_avg_sz,ip_std_sz,ip_avg_ttl,ip_avg_delay,ip_std_delay,ip_std_freq,wifi_sum_freq,wifi_sum_sz,wifi_subtype_mode,wifi_type_least,wifi_avg_freq,wifi_avg_sz,wifi_avg_rssi,wifi_std_rssi,wifi_avg_delay,wifi_std_delay,wifi_std_freq,zb_sum_freq,zb_sum_sz,zb_type_mode,zb_type_least,zb_avg_freq,zb_avg_sz,zb_std_sz,zb_avg_delay,zb_std_delay,zb_std_freq,audio_freq,audio_avg_rms,audio_std_rms,avg_db,std_db,activity
1,52,443,443,1,52,0,64,0,0,0,19,193,8,8,19,193,-2,0,108,113,0,5,205,1,3,1,68,2,46,56,0,0,0,0,9,7.44,1
5,410,443,50000,1,136,103,117,109,0,0,34,495,8,8,17,247,-2,0,56,61,14,15,157,1,2,5,52,1,79,42,4,201,22.51,27.24,9,7.52,1
6,327,443,50000,3,163,102,149,822,343,1,25,193,8,8,25,193,-2,0,102,104,0,14,153,2,2,4,51,1,87,0,4,0,0,0,9,7,1
4,196,50000,50000,2,98,82,58,481,0,0,31,193,8,8,31,193,-2,0,102,104,0,16,155,1,2,5,51,1,286,270,4,203,32.12,40.38,10,8.31,1
0,0,0,0,0,0,0,0,0,0,0,30,193,8,8,30,193,-2,0,102,104,0,10,117,2,3,3,39,0,264,206,1,204,18.01,25.52,9,7.23,1
0,0,0,0,0,0,0,0,0,0,0,47,495,8,8,23,247,-2,0,53,55,7,7,194,3,1,2,64,0,393,25,1,201,24.85,23.26,11,8.29,1
0,0,0,0,0,0,0,0,0,0,0,29,193,8,8,29,193,-2,0,102,104,0,15,120,2,1,5,40,0,74,22,5,0,0,0,8,6.52,1
5,210,8883,50000,1,70,16,173,50,0,0,26,193,8,8,26,193,-2,0,106,110,0,17,163,2,2,5,54,2,78,21,5,201,32.17,32.43,11,8.27,1
9,327,443,50000,4,163,96,149,852,323,1,36,495,8,8,18,247,-2,0,57,64,12,5,152,1,2,1,50,2,18,0,0,207,3.27,1.14,10,8.36,1
4,457,443,50000,1,152,83,121,6,0,0,27,193,8,8,27,193,-2,0,102,104,0,4,208,1,3,1,69,1,5,0,0,0,0,0,14,10.42,1
6,327,443,50000,3,163,102,149,817,341,1,27,495,8,8,13,247,-2,0,52,52,11,9,78,2,2,3,26,0,81,0,2,207,2.38,0.45,16,10.73,1
3,328,443,50000,1,164,125,149,9,0,0,40,653,8,8,13,217,-3,0,40,39,12,19,154,2,2,6,51,1,143,47,4,206,3.22,1.82,10,8.28,1
10,401,443,50000,3,133,108,60,333,212,1,27,193,8,8,27,193,-2,0,102,104,0,8,115,2,1,2,38,1,163,204,2,0,0,0,11,8.14,1
7,363,443,50000,3,181,96,149,741,279,1,38,495,8,8,19,247,-2,0,53,54,11,18,157,1,2,6,52,0,221,233,5,206,4.89,5.54,16,11.28,1
199,369,0,0,66,123,198,230,837,17,60,36,797,5,8,12,265,-3,0,42,35,12,16,111,2,1,5,37,0,249,233,4,206,5.97,4.85,13,8.85,1
38,1313,443,50000,12,437,494,174,104,176,2,31,193,8,8,31,193,-3,0,102,104,0,19,163,1,2,6,54,4,305,221,4,0,0,0,12,9.02,1
14,384,443,50000,4,128,101,176,7,1,4,37,495,8,8,18,247,-3,0,56,60,11,13,115,2,1,4,38,1,95,1,4,203,16.94,43.71,13,8.68,1
27,1300,443,50000,9,433,494,178,22,22,5,31,193,8,8,31,193,-3,0,105,109,0,19,151,1,2,6,50,2,99,8,3,203,20.61,49.53,14,10.95,1
63,2241,0,0,21,747,638,234,55,108,10,30,193,8,8,30,193,-3,0,102,104,0,16,113,2,1,5,37,1,85,0,5,0,0,0,12,8.4,1
36,1944,0,0,12,648,651,233,31,36,6,20,193,8,8,20,193,-3,0,102,105,0,14,158,2,2,4,52,0,87,19,5,205,7.19,4.84,12,9.09,1
10,143,443,50000,3,47,16,175,39,39,1,32,495,8,8,16,247,-3,0,52,52,14,13,78,2,2,4,26,0,81,0,4,206,4.88,1.89,12,8.92,1
436,962,443,50000,145,320,297,136,594,16,199,29,193,8,8,29,193,-3,0,102,104,0,24,90,2,2,8,30,0,261,35,4,0,0,0,14,9.57,1
799,1545,443,50000,266,515,308,177,9,14,349,32,193,8,8,32,193,-3,0,102,104,0,17,143,2,1,5,47,6,164,46,4,208,3.76,1.18,15,11.36,1
14,945,443,50000,4,315,335,143,17,19,3,32,797,5,8,10,265,-3,0,38,34,12,38,108,1,1,12,36,4,197,97,7,206,3.59,1.09,13,8.79,1
16,369,443,50000,5,123,98,118,93,118,1,32,193,8,8,32,193,-3,0,102,104,0,14,78,2,2,4,26,0,81,1,5,0,0,0,15,10.83,1
6,195,443,443,2,65,27,143,3,4,0,26,193,8,8,26,193,-3,0,102,104,0,18,154,2,2,6,51,0,295,255,4,207,3.76,0.93,13,8.5,1
25,899,443,50000,8,299,302,137,16,38,7,34,495,8,8,17,247,-3,0,56,61,13,5,168,1,2,1,56,6,289,0,0,207,5.26,8.62,11,9.07,1
115,1913,443,50000,38,637,295,120,33,58,48,31,193,8,8,31,193,-3,0,102,104,0,18,152,1,2,6,50,2,96,21,5,206,5.88,7.1,12,8.6,1
11,694,443,50000,3,231,230,116,22,28,2,31,193,8,8,31,193,-3,0,102,104,0,3,117,2,3,1,39,0,0,0,0,0,0,0,13,9.57,1
52,1298,0,0,17,432,322,169,16,22,14,25,193,8,8,25,193,-3,0,102,104,0,13,164,1,2,4,54,1,311,350,2,204,8.32,13.73,12,8.67,1
9,1567,443,50000,3,522,278,121,16,6,2,37,495,8,8,18,247,-3,0,53,55,12,12,116,2,3,4,38,0,90,27,4,205,6.96,5.76,12,9.76,1
21,557,5223,50000,7,185,190,121,569,58,6,25,193,8,8,25,193,-3,0,102,105,0,15,157,2,2,5,52,1,103,24,4,0,0,0,13,8.81,1
0,0,0,0,0,0,0,0,0,0,0,31,193,8,8,31,193,-3,0,102,104,0,26,149,3,3,8,49,0,67,112,7,207,3.26,1.78,14,9.58,1
0,0,0,0,0,0,0,0,0,0,0,44,495,8,8,22,247,-3,0,53,55,9,5,152,1,2,1,50,2,19,0,0,206,5.96,8.74,11,7.97,1
10,437,443,50000,3,145,64,56,379,171,1,30,193,8,8,30,193,-3,0,102,104,0,15,116,2,3,5,38,0,82,1,5,0,0,0,11,8.52,1
7,623,443,50000,2,207,129,83,145,229,1,30,193,8,8,30,193,-3,0,102,104,0,18,157,1,2,6,52,1,222,254,5,202,16.43,20.77,12,8.23,1
6,748,443,50000,2,249,152,83,13,8,0,42,495,8,8,21,247,-3,0,53,55,12,14,168,1,2,4,56,4,98,178,4,203,13.17,13.28,11,7.98,1
6,348,443,50000,2,116,101,116,28,0,0,29,193,8,8,29,193,-3,0,102,104,0,16,168,1,2,5,56,3,406,48,5,0,0,0,13,8.55,1
4,458,443,50000,1,152,83,121,6,0,0,30,193,8,8,30,193,-3,0,102,104,0,4,115,2,1,1,38,1,13,0,0,205,6.77,3.21,11,8.41,1
3,328,443,50000,1,164,125,149,9,0,0,22,193,8,8,22,193,-3,0,102,104,0,11,162,1,2,3,54,0,71,27,3,205,7.14,4.37,12,8.59,1
3,328,443,50000,1,164,125,149,10,0,0,32,495,8,8,16,247,-3,0,52,52,14,11,115,2,1,3,38,1,151,150,3,0,0,0,15,12.76,1
10,185,8883,50000,3,61,17,179,9,0,0,32,371,8,8,10,123,-4,0,34,34,13,14,153,2,2,4,51,1,104,51,4,206,6.48,7.81,12,8.76,1
2,135,443,443,1,67,0,149,0,0,0,41,653,8,8,13,217,-3,0,42,43,13,14,115,2,1,4,38,1,104,25,4,206,5.71,3.48,15,10.84,1
8,397,443,443,2,132,98,60,268,367,0,37,797,5,8,12,265,-3,0,35,36,9,11,158,2,2,3,52,0,121,112,3,204,8.13,4.83,12,9.4,1
16,205,50000,443,5,68,19,84,133,107,5,29,193,8,8,29,193,-3,0,102,104,0,16,78,2,2,5,26,0,75,21,6,0,0,0,12,8.89,1
7,410,443,50000,2,136,99,117,262,298,1,30,193,8,8,30,193,-3,0,102,104,0,16,153,1,2,5,51,0,75,20,6,201,23.07,25.83,12,8.7,1
13,427,50000,443,4,142,92,121,613,292,2,33,495,8,8,16,247,-3,0,52,52,14,11,153,2,2,3,51,1,100,31,3,202,19.24,28.48,10,8.39,1
