timestamp,freq,avg_rms,std_rms
1549637885,201,22.51,27.24
1549637891,203,32.12,40.38
1549637894,204,18.01,25.52
1549637897,201,24.85,23.26
1549637903,201,32.17,32.43
1549637906,207,3.27,1.14
1549657487,207,2.38,0.45
1549657490,206,3.22,1.82
1549657496,206,4.89,5.54
1549657499,206,5.97,4.85
1549657505,203,16.94,43.71
1549657508,203,20.61,49.53
1549657514,205,7.19,4.84
1549657517,206,4.88,1.89
1549657523,208,3.76,1.18
1549657526,206,3.59,1.09
1549657532,207,3.76,0.93
1549657535,207,5.26,8.62
1549657538,206,5.88,7.1
1549657544,204,8.32,13.73
1549657547,205,6.96,5.76
1549657553,207,3.26,1.78
1549657556,206,5.96,8.74
1549657562,202,16.43,20.77
1549657565,203,13.17,13.28
1549657571,205,6.77,3.21
1549657574,205,7.14,4.37
1549657580,206,6.48,7.81
1549657583,206,5.71,3.48
1549657586,204,8.13,4.83
1549657592,201,23.07,25.83
1549657595,202,19.24,28.48
1549657601,202,16.07,19.52
1549657604,204,12.67,19.16
1549657610,202,11.3,12.23
1549657613,208,2.41,1.17
1549657619,206,3.25,4.38
1549657622,206,4.36,5.1
1549657628,208,2.5,0.59
1549657631,206,2.71,0.92
1549657637,207,2.69,1.09
1549657640,207,2.6,0.6
1549657643,203,12.73,19.26
1549657649,202,15.54,29.43
1549657652,206,6.93,7.43
1549657658,207,4.28,1.38
1549657661,204,10.39,13.89
1549657667,205,8.24,10.36
1549657670,207,3.52,1.04
1549657676,206,4.02,1.81
1549657679,206,5.14,5.56
1549657685,207,2.58,0.66
1549657688,206,3.49,4.98
1549657694,207,3.91,2.44
1549657697,205,5.95,4.74
1549657706,207,3.68,2
1549657709,205,5.19,4.45
1549657715,207,4,2.09
1549657718,205,5.25,5.08
1549657724,206,5.2,3.85
1549657727,207,2.9,2.21
1549657733,206,3.51,3.53
1549657736,207,2.66,1.24
1549657742,206,3.73,3.38
1549657745,207,3.38,1.96
1549657751,206,6.63,3.34
1549657754,205,7.41,4.55
1549657760,206,4.43,1.36
1549657763,207,4.59,3.78
1549657766,206,4.08,2.29
1549657772,207,2.8,0.89
1549657778,207,5.13,3.82
1549657781,207,3.7,2.18
1549657784,206,2.86,0.67
1549657790,206,5.19,4.45
1549657793,206,3.63,3.03
1549657799,207,2.82,0.74
1549657802,207,3.04,0.99
1549657808,207,3.17,0.77
1549657811,206,3.73,2.77
1549657817,207,3.02,2.29
1549657820,206,2.52,0.45
1549657826,207,2.61,0.82
1549657829,207,2.44,0.43
1549657835,206,3.42,3.48
1549657838,207,4.53,2.66
1549657871,207,2.75,1.02
1549657874,204,8.32,8.17
1549657880,206,3.77,4.42
1549657883,204,6.9,6.04
1549657889,205,5.54,3.93
1549657892,205,8.32,4.97
1549657898,205,6.77,4.22
1549657901,205,7.65,4.85
1549657907,205,5.64,6.67
1549657910,204,10.59,10.65
1549657913,203,9.19,3.58
1549657919,203,14.88,15.26
1549657922,202,12.93,13.58
1549657928,205,7.87,9.36
1549657931,202,12.89,14.91
1549657937,204,7.6,5.78
1549657940,204,7.35,4.65
1549657946,204,6.12,5.11
