timestamp,src,dest,src_port,dest_port,freq,avg_ttl,avg_sz,std_sz,avg_del,std_del
1549637885,192.168.1.8,54.154.103.70,57057,443,1,64,52,0,0,0
1549637888,104.198.46.246,192.168.1.4,56700,65293,2,52,82.5,60.1,296359,0
1549637888,192.168.1.8,54.154.103.70,57057,443,2,64,229,250.32,31807,0
1549637888,54.154.103.70,192.168.1.8,443,57057,1,235,99,0,0,0
1549637891,192.168.1.8,54.154.103.70,57057,443,4,64,228.75,204.09,416173,686423.02
1549637891,54.154.103.70,192.168.1.8,443,57057,2,235,99,0,1229052,0
1549637894,104.198.46.246,192.168.1.5,56700,63599,2,52,82.5,60.1,562049,0
1549637894,192.168.1.5,104.198.46.246,63599,56700,2,64,114.5,105.36,400893,0
1549637906,52.94.219.213,192.168.1.13,443,33059,2,222,60.5,28.99,104733,0
1549637906,192.168.1.7,54.246.176.173,42738,8883,2,64,67.5,21.92,47667,0
1549637906,54.246.176.173,192.168.1.7,8883,42738,1,235,83,0,0,0
1549637909,192.168.1.8,54.154.103.70,57057,443,6,64,228.67,193.53,495749.8,633920.56
1549637909,54.154.103.70,192.168.1.8,443,57057,3,235,99,0,1210336.5,14729.74
1549657484,192.168.1.14,157.240.1.35,54274,443,1,64,129,0,0,0
1549657484,192.168.1.8,34.249.225.142,55069,443,2,64,229.5,251.02,20406,0
1549657484,34.249.225.142,192.168.1.8,443,55069,1,235,99,0,0,0
1549657487,192.168.1.8,34.249.225.142,55069,443,4,64,228.75,204.09,413748.33,682839.96
1549657487,34.249.225.142,192.168.1.8,443,55069,2,235,99,0,1221848,0
1549657490,192.168.1.8,34.249.225.142,55069,443,2,64,229.5,251.02,19477,0
1549657490,34.249.225.142,192.168.1.8,443,55069,1,235,99,0,0,0
1549657493,192.168.1.8,34.249.225.142,55069,443,6,64,229.17,194.08,485781,638465.24
1549657493,104.198.46.246,192.168.1.5,56700,52923,2,53,82.5,60.1,310613,0
1549657493,192.168.1.5,104.198.46.246,52923,56700,2,64,90.5,71.42,205612,0
1549657496,192.168.1.8,34.249.225.142,55069,443,5,64,264.2,193.71,311095.75,559458.75
1549657496,34.249.225.142,192.168.1.8,443,55069,2,235,99,0,1172105,0
1549657499,34.249.225.142,192.168.1.8,443,55069,2,235,99,0,2476950,0
1549657499,52.94.241.34,192.168.1.2,443,51465,147,229.3,79.15,195.51,11066.9,28605.69
1549657499,52.119.196.146,192.168.1.2,443,51466,50,228.12,191.96,401,24126.86,25922.63
1549657502,192.168.1.8,34.249.225.142,55069,443,10,64,258.4,287.52,218159.78,419802.33
1549657502,52.119.196.87,192.168.1.2,443,49813,13,230.46,553.62,612.29,55919.83,66155.18
1549657502,52.119.196.87,192.168.1.2,443,49814,15,229.4,502.87,584.64,39897.57,44741.84
1549657505,52.94.241.34,192.168.1.2,443,51465,11,229,56.45,54.57,2821.7,5432.35
1549657505,192.168.1.8,34.249.225.142,55069,443,2,64,229,250.32,20469,0
1549657505,34.249.225.142,192.168.1.8,443,55069,1,235,99,0,0,0
1549657508,192.168.1.8,34.249.225.142,55069,443,2,64,228,248.9,22826,0
1549657508,143.204.197.245,192.168.1.2,443,51474,11,241,706.27,673.65,18044,28623.21
1549657508,52.94.241.34,192.168.1.2,443,51472,14,229.57,366.29,562.55,27551.23,39705.8
1549657511,52.94.220.236,192.168.1.2,443,51475,28,221,957.61,636.74,85090.89,184138.96
1549657511,143.204.190.134,192.168.1.2,443,51481,29,241,513.59,635.61,21305.61,85486.4
1549657511,143.204.197.245,192.168.1.2,443,51473,6,241,771.33,643.99,61443.8,57122.71
1549657514,143.204.190.134,192.168.1.2,443,51481,3,241,1024.67,809.45,6686.5,7241.48
1549657514,52.119.196.87,192.168.1.2,443,49815,15,230.4,502.87,584.64,49881.14,55222.22
1549657514,52.119.196.87,192.168.1.2,443,49816,18,230.72,418.89,561.34,39844.29,48277.94
1549657517,52.94.241.34,192.168.1.2,443,51472,4,230.75,53.25,26.5,75459,70677.63
1549657517,192.168.1.2,52.94.241.34,51472,443,5,64,50.6,23.7,43705.75,49224.49
1549657517,72.21.207.143,192.168.1.14,443,45370,1,231,40,0,0,0
1549657520,192.168.1.14,157.240.1.35,54274,443,2,64,129,0,1752834,0
1549657520,52.119.196.146,192.168.1.2,443,51485,428,228.77,88.63,248.34,3555.91,19227.92
1549657520,52.114.76.35,192.168.1.14,443,43475,6,116,745.17,644.81,28357,30688.62
1549657523,192.168.1.2,52.119.196.146,51485,443,761,64,1253.17,481.22,2529.7,16597.85
1549657523,52.94.232.50,192.168.1.2,443,51486,34,227.38,240.88,443.02,25951.97,27361.28
1549657523,143.204.190.134,192.168.1.2,443,51481,4,241,52,0,1.33,0.58
1549657526,192.168.1.8,34.249.225.142,55069,443,2,64,228.5,249.61,19612,0
1549657526,143.204.185.215,192.168.1.14,443,49570,9,241,614.11,676.7,23050.88,44074.38
1549657526,172.217.23.10,192.168.1.14,443,50059,3,124,103.67,82.66,11049.5,14642.06
1549657529,192.168.1.14,172.217.23.10,50059,443,8,64,263,242.36,154432.71,209661.19
1549657529,192.168.1.2,52.94.232.50,51486,443,4,64,53.25,26.5,33416,57129.19
1549657529,52.94.232.50,192.168.1.2,443,51486,4,228.5,53.25,26.5,93997.33,89552.9
1549657532,192.168.1.2,52.94.232.50,51486,443,1,64,40,0,0,0
1549657532,143.204.190.134,192.168.1.2,443,51481,2,241,52,0,2,0
1549657532,172.217.23.10,192.168.1.14,443,50067,3,124,103.67,82.66,10588,14972.28
1549657535,192.168.1.14,172.217.23.10,50067,443,18,64,646.39,679.52,42909.47,100895.15
1549657535,52.46.156.128,192.168.1.14,443,53668,1,223,40,0,0,0
1549657535,216.58.204.10,192.168.1.14,443,49798,6,124,213.67,227.69,7703.4,15925.58
1549657538,192.168.1.2,52.94.220.236,51470,443,5,64,444.6,588.44,97844.5,167462.58
1549657538,104.72.185.251,192.168.1.2,443,51488,107,56,1417.84,297.03,2407.61,7591.16
1549657538,143.204.197.245,192.168.1.2,443,51474,3,241,52,0,1602,2262.74
1549657541,192.168.1.2,52.94.220.236,51471,443,4,64,47.75,15.5,18982,17416.81
1549657541,52.94.232.50,192.168.1.2,443,51491,1,231,52,0,0,0
1549657544,35.184.172.128,192.168.1.14,443,51036,6,53,595,677.26,49987.4,67534.91
1549657547,35.184.172.128,192.168.1.14,443,51036,1,53,704,0,0,0
1549657547,52.94.241.34,192.168.1.2,443,51493,37,230.59,163.46,374.18,28531.56,30210.6
