timestamp,src,dest,freq,subtype,avg_sz,avg_rssi,std_rssi,avg_del,std_del
1549637885,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,31,8,193,-2.77,0.43,102407.87,104158.61
1549637885,8c:0d:76:64:69:31,90:70:65:2d:f5:af,3,5,302,-2.67,0.58,10872,18329.62
1549637888,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,25,8,193,-2.68,0.48,102453.96,104657.83
1549637891,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,31,8,193,-2.71,0.46,102396.9,104154.42
1549637894,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,30,8,193,-2.77,0.43,102401.17,104215.49
1549637897,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,31,8,193,-2.77,0.43,102419.6,104179.62
1549637897,8c:0d:76:64:69:31,90:70:65:2d:f5:af,16,5,302,-2.81,0.4,5289.93,6385.19
1549637900,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,29,8,193,-2.9,0.31,102406.79,104286.21
1549637903,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,26,8,193,-2.69,0.47,106505.36,110615.19
1549637906,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,30,8,193,-2.7,0.47,102417.21,104230.28
1549637906,8c:0d:76:64:69:31,90:70:65:2d:f5:af,6,5,302,-2.83,0.41,13545.4,25250.39
1549657484,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,27,8,193,-2.85,0.36,102405.54,104434.73
1549657487,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,25,8,193,-2.52,0.51,102374.96,104578.31
1549657487,8c:0d:76:64:69:31,90:70:65:2d:f5:af,2,5,302,-3,0,3805,0
1549657490,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,31,8,193,-2.55,0.51,102316.93,104068.77
1549657490,f0:18:98:10:ed:56,ff:ff:ff:ff:ff:ff,2,4,158,-6,0,9612,0
1549657490,8c:0d:76:64:69:31,f0:18:98:10:ed:56,7,5,302,-3,0,9970,15426.97
1549657493,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,27,8,193,-2.48,0.51,102383.69,104418.18
1549657496,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,30,8,193,-2.87,0.35,102379.93,104194.21
1549657496,8c:0d:76:64:69:31,90:70:65:2d:f5:af,8,5,302,-3,0,4664.71,5723.71
1549657499,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,29,8,193,-3,0,102399.29,104281.62
1549657499,8c:0d:76:64:69:31,5c:41:5a:f8:0d:1c,5,5,302,-3,0,3117.5,3614.65
1549657499,8c:0d:76:64:69:31,58:e6:ba:08:78:16,2,5,302,-3,0,21232,0
1549657502,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,31,8,193,-3,0,102409.63,104160.46
1549657505,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,30,8,193,-3,0,105972.21,109496.64
1549657505,8c:0d:76:64:69:31,90:70:65:2d:f5:af,7,5,302,-3,0,7160.33,11548.04
1549657508,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,31,8,193,-3,0,105815,109240.86
1549657511,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,30,8,193,-3,0,102399.28,104216.03
1549657514,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,20,8,193,-3,0,102404.53,105213.66
1549657517,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,30,8,193,-3,0,102401.31,104218.76
1549657517,8c:0d:76:64:69:31,90:70:65:2d:f5:af,2,5,302,-3,0,3532,0
1549657520,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,29,8,193,-3,0,102408.79,104290.04
1549657523,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,32,8,193,-3,0,102402.87,104096.57
1549657526,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,28,8,193,-3,0,102426.22,104378.98
1549657526,8c:0d:76:64:69:31,d0:2b:20:c6:94:dd,2,5,302,-3,0,10178,0
1549657526,8c:0d:76:64:69:31,90:70:65:2d:f5:af,2,5,302,-3,0,3765,0
1549657529,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,32,8,193,-3,0,102395.29,104089.75
1549657532,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,26,8,193,-3,0,102403.56,104517.82
1549657535,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,30,8,193,-3,0,102397.41,104210.52
1549657535,8c:0d:76:64:69:31,90:70:65:2d:f5:af,4,5,302,-3,0,11040,18501.9
1549657538,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,31,8,193,-3,0,102398.23,104151.52
1549657541,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,31,8,193,-3,0,102399.47,104151.59
1549657544,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,25,8,193,-3,0,102397.75,104601.19
1549657547,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,31,8,193,-3,0,102401.83,104153.66
1549657547,8c:0d:76:64:69:31,90:70:65:2d:f5:af,6,5,302,-3,0,5205.8,7037.09
1549657550,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,25,8,193,-3,0,102388.42,105037.92
1549657553,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,31,8,193,-3,0,102398.2,104149.9
1549657556,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,31,8,193,-3,0,102398.6,104161.21
1549657556,8c:0d:76:64:69:31,90:70:65:2d:f5:af,13,5,302,-3,0,4831,6065.87
1549657559,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,30,8,193,-3,0,102393.86,104210.84
1549657562,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,30,8,193,-3,0,102397.1,104212.52
1549657565,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,33,8,193,-3,0,102454.56,104099.59
1549657565,8c:0d:76:64:69:31,90:70:65:2d:f5:af,9,5,302,-3,0,5171.38,7284.63
1549657568,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,29,8,193,-3,0,102369.96,104250.96
1549657571,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,30,8,193,-3,0,102397.72,104212.57
1549657574,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,22,8,193,-3,0,102429.86,104959.8
1549657577,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,30,8,193,-3,0,102387.55,104201.51
1549657577,8c:0d:76:64:69:31,90:70:65:2d:f5:af,2,5,302,-3,0,3736,0
1549657580,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,30,8,193,-3,0,102385,104199.31
1549657580,d0:73:d5:13:d3:9b,8c:0d:76:64:69:31,1,0,93,-7,0,0,0
1549657580,8c:0d:76:64:69:31,d0:73:d5:13:d3:9b,1,1,85,-3,0,0,0
1549657583,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,32,8,193,-3,0,102323.94,104016.58
1549657583,f0:18:98:10:ed:56,ff:ff:ff:ff:ff:ff,2,4,158,-5,0,10468,0
1549657583,8c:0d:76:64:69:31,f0:18:98:10:ed:56,7,5,302,-3,0,14126.5,27414.15
1549657586,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,25,8,193,-3,0,102400.96,104609.35
1549657586,8c:0d:76:64:69:31,d0:73:d5:13:d3:9b,1,5,302,-3,0,0,0
1549657586,8c:0d:76:64:69:31,90:70:65:2d:f5:af,11,5,302,-3,0,4610.6,5549.28
1549657589,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,29,8,193,-3,0,102398.36,104279.64
1549657592,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,30,8,193,-3,0,102399.45,104213.45
1549657595,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,31,8,193,-3,0,102468.3,104220.89
1549657595,8c:0d:76:64:69:31,90:70:65:2d:f5:af,2,5,302,-3,0,3421,0
1549657598,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,29,8,193,-3,0,102405.5,104285.69
1549657601,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,21,8,193,-3,0,102377.85,105037.83
1549657604,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,31,8,193,-3,0,102400.97,104152.57
1549657604,8c:0d:76:64:69:31,b8:53:ac:95:d8:dc,4,5,302,-3,0,3980.33,5205.18
1549657607,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,30,8,193,-3,0,102398.69,104211.48
1549657607,8c:0d:76:64:69:31,90:70:65:2d:f5:af,2,5,302,-3,0,3829,0
1549657610,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,31,8,193,-3,0,102406.43,104160.01
1549657613,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,30,8,193,-3,0,102367.41,104179.64
1549657616,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,30,8,193,-3,0,102395.62,104210.78
1549657616,8c:0d:76:64:69:31,90:70:65:2d:f5:af,14,5,302,-3,0,4797.77,5824.75
1549657619,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,33,8,193,-3,0,102404.66,104045.03
1549657619,8c:0d:76:64:69:31,5c:41:5a:f8:0d:1c,5,5,302,-3,0,3059.5,3539.57
1549657622,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,29,8,193,-3,0,106052.89,109711.44
1549657622,8c:0d:76:64:69:31,d0:2b:20:c6:94:dd,12,5,302,-3,0,11417.09,22738.89
1549657625,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,27,8,193,-3,0,102403.08,104432.44
1549657625,8c:0d:76:64:69:31,90:70:65:2d:f5:af,4,5,302,-3,0,3258.33,3993.25
1549657628,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,31,8,193,-3,0,102379.13,104132.53
1549657631,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,24,8,193,-3,0,102458.78,104763.43
1549657634,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,25,8,193,-3,0,106678.08,110965.83
1549657637,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,30,8,193,-3,0,102431.34,104246.4
1549657637,8c:0d:76:64:69:31,90:70:65:2d:f5:af,6,5,302,-3,0,9602.2,16417.77
1549657640,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,31,8,193,-3,0,102398.37,104150.6
1549657643,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,30,8,193,-3,0,102407.24,104220.21
1549657643,8c:0d:76:64:69:31,d0:73:d5:13:d3:9b,5,5,302,-3,0,3959.25,4752.3
1549657646,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,31,8,193,-3,0,102397.47,104151.42
1549657646,8c:0d:76:64:69:31,90:70:65:2d:f5:af,8,5,302,-3,0,7671,13675.98
1549657649,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,31,8,193,-2.97,0.18,102355.2,104108.08
1549657652,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,31,8,193,-3,0,102409.4,104160.83
1549657652,8c:0d:76:64:69:31,5c:41:5a:f8:0d:1c,5,5,302,-3,0,3253,3781.72
1549657652,8c:0d:76:64:69:31,d0:d2:b0:0c:4e:5f,1,5,302,-3,0,0,0
1549657655,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,27,8,193,-3,0,102447.65,104480.22
1549657655,8c:0d:76:64:69:31,90:70:65:2d:f5:af,9,5,302,-3,0,9507.62,13370.39
1549657658,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,26,8,193,-3,0,102389.64,104502.27
1549657658,8c:0d:76:64:69:31,c0:a6:00:e7:3a:ea,2,5,302,-3,0,21877,0
1549657661,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,28,8,193,-2.93,0.26,109986.89,115374.04
1549657664,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,30,8,193,-3,0,102406.83,104220.03
1549657667,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,31,8,193,-3,0,102392.13,104146.25
1549657667,8c:0d:76:64:69:31,90:70:65:2d:f5:af,7,5,302,-3,0,7636,13159.03
1549657670,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,25,8,193,-2.8,0.41,102401,104603.8
1549657673,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,31,8,193,-3,0,102406.73,104161.87
1549657676,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,30,8,193,-3,0,102396.69,104209.33
1549657676,8c:0d:76:64:69:31,90:70:65:2d:f5:af,7,5,302,-3,0,13770.17,27843.7
1549657679,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,29,8,193,-3,0,109713.61,118241.52
1549657682,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,30,8,193,-3,0,102406.24,104220.78
1549657685,8c:0d:76:64:69:31,ff:ff:ff:ff:ff:ff,32,8,193,-3,0,102405.58,104101.72
