timestamp,src,dest,type,freq,avg_sz,std_sz,avg_del,std_del
1549637882,0,700a,1,1,68,0,0,0
1549637882,1c7c,ffff,3,1,64,0,0,0
1549637885,700a,0,2,12,26,0,222268.45,127117.37
1549637885,0,cda3,1,1,68,0,0,0
1549637885,0,1c7c,1,2,63.5,3.54,16865,0
1549637888,700a,0,2,11,26,0,244659.9,1182.95
1549637888,0,ffff,3,1,64,0,0,0
1549637888,0,1c7c,1,2,63.5,3.54,19374,0
1549637891,700a,0,2,12,26,0,244745.91,665.45
1549637891,1c7c,0,1,3,61.67,4.62,614884,812124.87
1549637891,cda3,700a,1,1,68,0,0,0
1549637894,700a,0,2,5,26,0,679710.5,510907.86
1549637894,b88f,1c7c,2,1,26,0,0,0
1549637894,0,ffff,3,4,65,0,113133,110753.83
1549637897,0,ffff,3,4,64.75,0.5,154971,75526.03
1549637897,cda3,700a,1,2,66.5,2.12,1025255,0
1549637897,1c7c,ffff,3,1,64,0,0,0
1549637900,700a,0,2,13,26,0,224016.92,67841.87
1549637900,b88f,1c7c,2,1,26,0,0,0
1549637900,cda3,700a,1,1,68,0,0,0
1549637903,700a,0,2,14,26,0,225632.77,64208.6
1549637903,0,ffff,3,1,64,0,0,0
1549637903,cda3,700a,1,2,73.5,7.78,9750,0
1549637906,5408,0,2,1,26,0,0,0
1549637906,1c7c,0,1,2,63,5.66,39007,0
1549637906,0,1c7c,1,2,63.5,3.54,16377,0
1549657484,1c7c,ffff,3,1,64,0,0,0
1549657484,700a,0,1,1,81,0,0,0
1549657484,0,1c7c,1,2,63.5,3.54,15565,0
1549657487,b88f,1c7c,2,1,26,0,0,0
1549657487,700a,0,2,7,26,0,245166.5,705.78
1549657487,5408,0,2,1,26,0,0,0
1549657490,700a,0,2,12,26,0,267761,74068.16
1549657490,0,ffff,3,5,65,0,144088,67440.33
1549657490,0,1c7c,1,2,63.5,3.54,18123,0
1549657493,1c7c,0,1,6,63,4.38,489670,613892.9
1549657493,b88f,1c7c,2,1,26,0,0,0
1549657493,5408,0,2,1,26,0,0,0
1549657496,700a,0,2,13,26,0,245286.42,1636.8
1549657496,0,1c7c,1,4,63.5,2.89,420951.67,700802.1
1549657496,5408,0,1,1,68,0,0,0
1549657499,700a,0,2,12,26,0,245763.45,878.72
1549657499,5408,0,2,3,26,0,504423,700711.71
1549657499,5408,0,1,1,59,0,0,0
1549657502,700a,0,2,13,26,0,245406.42,2761.43
1549657502,0,700a,1,2,74.5,9.19,246648,0
1549657502,1c7c,0,1,4,63,4.62,424001.33,662530.33
1549657505,700a,0,2,10,26,0,247265,4809.33
1549657505,5408,0,2,1,26,0,0,0
1549657505,1c7c,0,1,2,63,5.66,38116,0
1549657508,700a,0,2,10,26,0,245123.11,690.82
1549657508,1c7c,0,1,7,62.43,4.28,14460,25190.44
1549657508,0,1c7c,1,2,63.5,3.54,40568,0
1549657511,700a,0,2,13,26,0,245074.58,475.53
1549657511,b88f,1c7c,2,1,26,0,0,0
1549657511,0,5408,1,2,61.5,3.54,10007,0
1549657514,700a,0,2,12,26,0,262652.91,57597.73
1549657514,0,700a,1,1,68,0,0,0
1549657514,1c7c,ffff,3,1,64,0,0,0
1549657517,700a,0,2,11,26,0,245263,1756.72
1549657517,b88f,1c7c,2,1,26,0,0,0
1549657517,5408,0,2,1,26,0,0,0
1549657520,700a,0,2,12,26,0,245225,865.96
1549657520,ffff,ffff,0,10,0,0,299719,107988.53
1549657520,0,ffff,3,2,64,0,239861,0
1549657523,700a,0,2,12,26,0,266375.82,70473.77
1549657523,0,cda3,1,4,91.25,20.93,226920.67,68653.6
1549657523,5408,0,2,1,26,0,0,0
1549657526,0,cda3,1,5,82.6,12.84,229928.25,170425.91
1549657526,ffff,ffff,0,22,0,0,117641.9,123803.88
1549657526,700a,0,2,11,26,0,245222.2,879.45
1549657529,700a,0,2,12,26,0,245297.82,5013.34
1549657529,b88f,1c7c,2,1,26,0,0,0
1549657529,5408,0,2,1,26,0,0,0
1549657532,700a,0,2,12,26,0,267690.45,74021.22
1549657532,0,ffff,3,1,64,0,0,0
1549657532,0,1c7c,1,5,64,2.74,618616.75,691093.25
1549657535,700a,0,1,2,68.5,9.19,861140,0
1549657535,cda3,700a,1,2,74.5,9.19,8850,0
1549657535,5408,0,2,1,26,0,0,0
1549657538,700a,0,2,14,26,0,227528.62,65004.89
1549657538,0,1c7c,1,2,63.5,3.54,19374,0
1549657538,1c7c,0,1,2,63,5.66,43122,0
1549657541,0,ffff,3,1,65,0,0,0
1549657541,b88f,1c7c,2,1,26,0,0,0
1549657541,5408,0,2,1,26,0,0,0
1549657544,1c7c,0,1,6,63,4.38,499125,627078.73
1549657544,700a,0,1,1,75,0,0,0
1549657544,700a,0,2,6,26,0,435499.2,424012.6
1549657547,700a,0,2,10,26,0,272488.22,82270.95
1549657547,b88f,1c7c,2,1,26,0,0,0
1549657547,0,ffff,3,1,64,0,0,0
1549657550,700a,0,2,12,26,0,269134.27,73821.76
1549657550,1c7c,0,3,1,69,0,0,0
1549657550,1c7c,0,1,2,62.5,4.95,42741,0
1549657553,0,ffff,3,6,64.83,0.41,134899,116254.11
1549657553,1c7c,0,1,19,59.84,2.52,67784.39,220641.65
1549657553,b88f,1c7c,2,1,26,0,0,0
1549657556,5408,0,2,1,26,0,0,0
1549657556,0,1c7c,1,2,63.5,3.54,19371,0
1549657556,1c7c,0,1,2,63,5.66,40620,0
1549657559,700a,0,2,13,26,0,246643.83,4872.42
1549657559,1c7c,ffff,3,1,64,0,0,0
1549657559,5408,0,2,1,26,0,0,0
1549657562,700a,0,2,13,26,0,245740.08,104175.28
1549657562,1c7c,0,1,4,63,4.62,423990.67,660575.37
1549657562,5408,0,1,1,68,0,0,0
1549657565,700a,0,1,11,69.91,5.41,286588,534167.06
1549657565,b88f,1c7c,2,1,26,0,0,0
1549657565,cda3,700a,1,2,73.5,7.78,10003,0
1549657568,700a,0,2,13,26,0,245467.33,144606.91
1549657568,cda3,700a,1,2,74.5,9.19,973082,0
1549657571,1c7c,0,1,2,63,5.66,40749,0
1549657571,5408,0,2,1,26,0,0,0
1549657571,b88f,1c7c,2,1,26,0,0,0
1549657574,700a,0,2,9,26,0,214906.5,83744.41
1549657574,cda3,700a,1,1,68,0,0,0
1549657574,5408,0,1,1,68,0,0,0
1549657577,700a,0,2,8,26,0,415979.29,451673.39
1549657577,1c7c,0,1,2,63,5.66,40357,0
1549657577,b88f,1c7c,2,1,26,0,0,0
1549657580,700a,0,2,11,26,0,294464.1,154344.14
1549657580,0,ffff,3,1,64,0,0,0
1549657580,0,1c7c,1,2,63.5,3.54,20260,0
1549657583,700a,0,2,11,26,0,271200.1,77057.26
1549657583,b88f,1c7c,2,1,26,0,0,0
1549657583,1c7c,0,1,2,63,5.66,42747,0
1549657586,700a,0,2,9,26,0,364436.88,336562.92
1549657586,0,700a,1,1,68,0,0,0
1549657586,1c7c,ffff,3,1,64,0,0,0
1549657589,700a,0,2,14,26,0,226586.62,65240.76
1549657589,5408,0,2,1,26,0,0,0
1549657589,b88f,1c7c,2,1,26,0,0,0
1549657592,700a,0,2,14,26,0,226892.23,61159.04
1549657592,5408,0,1,1,59,0,0,0
1549657592,cda3,700a,1,1,68,0,0,0
1549657595,700a,0,2,8,26,0,281142.14,93199.89
1549657595,0,ffff,3,1,64,0,0,0
1549657595,0,1c7c,1,2,63.5,3.54,20788,0
1549657598,700a,0,2,14,26,0,226693.46,116059.59
1549657598,5408,0,2,1,26,0,0,0
1549657601,700a,0,2,9,26,0,246652.12,4151.09
1549657601,0,1c7c,1,4,63.5,2.89,415279,682430.17
1549657601,b88f,1c7c,2,1,26,0,0,0
1549657604,700a,0,2,13,26,0,224635.25,67653.06
1549657604,5408,0,1,2,63.5,6.36,1025769,0
1549657604,0,5408,1,2,61.5,3.54,7625,0
1549657607,700a,0,2,9,26,0,364418,336651.23
1549657607,5408,0,2,1,26,0,0,0
1549657607,b88f,1c7c,2,1,26,0,0,0
1549657610,700a,0,2,13,26,0,245199.42,1930.29
1549657610,0,ffff,3,4,64.75,0.5,125375,53905.8
1549657610,0,1c7c,1,2,63.5,3.54,18545,0
1549657613,0,ffff,3,5,64.8,0.45,754469.25,1233465.02
1549657613,5408,0,2,1,26,0,0,0
1549657613,b88f,1c7c,2,2,26,0,5370,0
1549657616,700a,0,2,8,26,0,380747.57,358950.13
1549657616,0,1c7c,1,4,63.5,2.89,417413.67,688351.96
1549657616,0,700a,1,1,68,0,0,0
1549657619,700a,0,2,14,26,0,226617.62,65903.95
1549657619,cda3,700a,1,1,68,0,0,0
1549657619,b88f,1c7c,2,1,26,0,0,0
1549657622,700a,0,2,14,26,0,227691.08,61290.46
1549657622,cda3,700a,1,1,68,0,0,0
1549657622,5408,0,2,1,26,0,0,0
1549657625,1c7c,0,3,1,69,0,0,0
1549657625,b88f,1c7c,2,1,26,0,0,0
1549657625,cda3,700a,1,2,73.5,7.78,242248,0
1549657628,700a,0,1,1,75,0,0,0
1549657628,0,700a,1,2,74.5,9.19,989589,0
1549657628,cda3,700a,1,2,68,0,983369,0
1549657631,700a,0,2,13,26,0,205853.5,95505.2
1549657631,0,ffff,3,1,64,0,0,0
1549657631,b88f,1c7c,2,1,26,0,0,0
1549657634,1c7c,ffff,3,1,64,0,0,0
1549657634,0,700a,1,1,104,0,0,0
1549657634,cda3,700a,1,1,68,0,0,0
1549657637,700a,0,2,8,26,0,381056.57,359313.08
1549657637,0,700a,1,1,68,0,0,0
1549657637,b88f,1c7c,2,1,26,0,0,0
1549657640,700a,0,2,13,26,0,245282.33,2316.49
1549657640,ffff,ffff,0,13,0,0,245282.5,2655.03
1549657643,700a,0,2,11,26,0,247050.8,6482.47
1549657643,0,1c7c,1,6,63.17,2.48,23725.4,18347.94
1549657643,1c7c,0,1,6,62.33,3.78,19549.2,19208.24
1549657646,700a,0,2,9,26,0,363964,335581.82
1549657646,0,700a,1,1,68,0,0,0
1549657646,1c7c,ffff,3,1,64,0,0,0
1549657649,700a,0,2,12,26,0,223250.64,71230.35
1549657649,0,700a,1,1,68,0,0,0
1549657649,b88f,1c7c,2,1,26,0,0,0
1549657652,700a,0,2,14,26,0,227107.46,60876.28
1549657652,ffff,ffff,0,18,0,0,173668.94,133946.03
1549657652,cda3,700a,1,1,68,0,0,0
1549657655,700a,0,2,11,26,0,245498.5,795.23
1549657655,cda3,700a,1,1,68,0,0,0
1549657655,0,700a,1,1,79,0,0,0
1549657658,700a,0,1,1,75,0,0,0
1549657658,cda3,700a,1,2,74.5,9.19,7734,0
1549657661,700a,0,2,13,26,0,246125.17,5244.32
1549657661,0,1276,1,1,78,0,0,0
1549657661,b88f,1c7c,2,1,26,0,0,0
1549657664,1c7c,ffff,3,1,64,0,0,0
1549657664,ffff,ffff,0,11,0,0,245450.1,1955.74
1549657664,0,ffff,3,1,64,0,0,0
1549657667,700a,0,2,12,26,0,155918.36,119879.16
1549657667,5408,0,2,1,26,0,0,0
1549657667,b88f,1c7c,2,1,26,0,0,0
1549657670,700a,0,2,10,26,0,329445.11,276378.06
1549657670,b88f,0,1,2,68,0,52518,0
1549657670,b88f,0,3,1,71,0,0,0
1549657673,0,ffff,3,5,65,0,143123.5,159955.37
1549657673,b88f,0,1,2,59,0,52627,0
1549657673,b88f,1c7c,2,3,26,0,502438.5,699951.57
1549657676,700a,0,2,11,26,0,269947.8,76856.24
1549657676,1c7c,ffff,3,1,64,0,0,0
1549657676,5408,0,2,1,26,0,0,0
1549657679,700a,0,2,11,26,0,291512.4,265992.55
1549657679,cda3,700a,1,1,68,0,0,0
1549657682,700a,0,2,12,26,0,267819.27,73566.6
1549657682,ffff,ffff,0,13,0,0,245499.67,99439.3
1549657682,5408,0,2,1,26,0,0,0
1549657685,0,ffff,3,7,65,0,155709.5,76455.88
1549657685,b88f,1c7c,2,1,26,0,0,0
1549657685,cda3,700a,1,1,68,0,0,0
1549657688,700a,0,2,5,26,0,245253.75,596.78
1549657688,ffff,ffff,0,5,0,0,245565,1505.47
1549657691,700a,0,1,1,75,0,0,0
1549657691,cda3,700a,1,2,68,0,980999,0
1549657691,b88f,1c7c,2,1,26,0,0,0
1549657694,700a,0,2,11,26,0,295787.7,155239.18
1549657694,0,ffff,3,1,64,0,0,0
1549657694,1c7c,ffff,3,1,64,0,0,0
1549657697,700a,0,2,13,26,0,224687.5,65450.3
1549657697,cda3,700a,1,2,86,25.46,7241,0
1549657697,b88f,1c7c,2,1,26,0,0,0
1549657700,700a,0,1,1,75,0,0,0
1549657700,700a,000d,2,1,26,0,0,0
1549657700,ffff,ffff,0,10,0,0,245246.11,121796.44
1549657703,700a,0,2,12,26,0,268554,74141.03
1549657703,5408,0,2,1,26,0,0,0
1549657703,b88f,1c7c,2,1,26,0,0,0
1549657706,700a,0,2,12,26,0,267930,74136.69
1549657706,5408,0,2,1,26,0,0,0
1549657706,0,ffff,3,1,64,0,0,0
1549657709,700a,0,2,8,26,0,380820.57,385546.07
1549657709,b88f,1c7c,2,1,26,0,0,0
1549657709,cda3,700a,1,1,68,0,0,0
1549657712,700a,0,2,12,26,0,267841.55,74097.25
1549657712,0,ffff,3,1,64,0,0,0
1549657712,5408,0,2,1,26,0,0,0
1549657715,700a,0,2,15,26,0,211104.43,82390.99
1549657715,cda3,700a,1,3,71.67,6.35,496108.5,690814.33
1549657715,b88f,1c7c,2,1,26,0,0,0
1549657718,700a,0,2,5,26,0,245238,727.06
1549657718,ffff,ffff,0,5,0,0,245216.5,1141.89
1549657721,700a,0,1,1,75,0,0,0
1549657721,cda3,700a,1,2,74.5,9.19,8871,0
1549657721,b88f,1c7c,2,1,26,0,0,0
1549657724,700a,0,2,13,26,0,246519.92,4687.11
1549657724,1c7c,ffff,3,1,64,0,0,0
1549657724,0,ffff,3,1,64,0,0,0
1549657727,700a,0,2,11,26,0,269862.5,77459.71
1549657727,0,ffff,3,1,64,0,0,0
1549657730,700a,0,1,1,75,0,0,0
1549657730,0,ffff,3,2,65,0,92888,0
1549657730,0,700a,1,1,68,0,0,0
